DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2001-0732-COD,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Nyamuragira,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Nord-Kivu, Sud-Kivu provinces",,,No,No,No,,,,-1.408,29.2,,2001,2.0,5.0,2001,2.0,5.0,,,,,,,,,,,,60.5035788853056,"[{""adm1_code"":1074,""adm1_name"":""Nord-Kivu""},{""adm1_code"":1076,""adm1_name"":""Sud-Kivu""}]",2014-07-28,2023-09-25
2002-0033-COD,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Nyiragongo,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Goma district (Nord-Kivu province),,Earthquake|Explosion,Yes,Yes,No,43504.0,,,-1.52,29.25,,2002,1.0,17.0,2002,1.0,21.0,200.0,400.0,,110000.0,110400.0,,,,,9000.0,14643.0,61.4631882611914,"[{""adm2_code"":74356,""adm2_name"":""Goma""}]",2005-12-09,2023-09-25
2002-0072-MEX,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Colima,MEX,Mexico,Latin America and the Caribbean,Americas,"La Yerbabuena village (Cuauhtemoc district, Colima province)",,,No,No,No,,,,19.514,-103.62,,2002,2.0,6.0,2002,2.0,6.0,,,300.0,,300.0,,,,,,,61.4631882611914,"[{""adm2_code"":19816,""adm2_name"":""Cuauhtemoc""}]",2014-07-28,2023-09-25
2002-0087-GTM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,de Fuego,GTM,Guatemala,Latin America and the Caribbean,Americas,"Del Fuego volcano (Chimaltenango, Sacatepéquez, Escuintla provinces)",,,No,No,No,,,,14.473,-90.88,,2002,2.0,13.0,2002,2.0,13.0,,,,,,,,,,,,61.4631882611914,"[{""adm1_code"":64823,""adm1_name"":""Sacatepéquez""},{""adm1_code"":64824,""adm1_name"":""Chimaltenango""},{""adm1_code"":64825,""adm1_name"":""Escuintla""}]",2014-07-25,2023-09-25
2002-0492-PNG,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt Pago,PNG,Papua New Guinea,Melanesia,Oceania,Kimbe district (West New Britain province),,,No,No,No,1180.0,,,,,,2002,7.0,2.0,2002,7.0,2.0,,,13000.0,,13000.0,,,,,,,61.4631882611914,"[{""adm2_code"":37556,""adm2_name"":""Kimbe""}]",2014-07-28,2023-09-25
2002-0693-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Reventador,ECU,Ecuador,Latin America and the Caribbean,Americas,"Pedro Mancayo, Cayambe, Quito, Ruminahui, Mejia districts (Pichincha province), Gonzalo Pizarro district (Sucumbios province), El Chaco, Quijos districts (Napo province)",,,No,No,Yes,1614.0,,,,,,2002,11.0,3.0,2002,11.0,4.0,,,128150.0,,128150.0,,,,,,,61.4631882611914,"[{""adm2_code"":15498,""adm2_name"":""El Chaco""},{""adm2_code"":15499,""adm2_name"":""Quijos""},{""adm2_code"":15517,""adm2_name"":""Gonzalo Pizarro""},{""adm2_code"":15508,""adm2_name"":""Cayambe""},{""adm2_code"":15509,""adm2_name"":""Mejia""},{""adm2_code"":15510,""adm2_name"":""Pedro Moncayo""},{""adm2_code"":15512,""adm2_name"":""Quito""},{""adm2_code"":15513,""adm2_name"":""Rumidahui""}]",2005-04-19,2023-09-25
2002-0701-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Papandayan,IDN,Indonesia,South-eastern Asia,Asia,"Garut, Bandung (Jawa Barat province)",,,No,No,No,,,,,,,2002,11.0,11.0,2002,11.0,11.0,,,5000.0,,5000.0,,,,,,,61.4631882611914,"[{""adm2_code"":18012,""adm2_name"":""Garut""},{""adm2_code"":73636,""adm2_name"":""Bandung""}]",2014-07-28,2023-09-25
2002-0846-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,ECU,Ecuador,Latin America and the Caribbean,Americas,Banos de Angua Santa district (Tungurahua province),,,No,No,No,,,,-1.467,-78.442,,2002,10.0,2.0,2002,10.0,2.0,,,21500.0,,21500.0,,,,,,,61.4631882611914,"[{""adm2_code"":15523,""adm2_name"":""Banos de Agua Santa""}]",2005-06-01,2023-09-25
2003-0224-MNP,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt Anatahan,MNP,Northern Mariana Islands,Micronesia,Oceania,Anatahan island (Administrative unit not available province),,,No,No,Yes,,,,,,,2003,5.0,10.0,2003,5.0,10.0,,,,,,,,,,,,62.8584595000413,"[{""adm1_code"":2243,""adm1_name"":""Administrative unit not available""}]",2003-10-08,2023-09-25
2003-0326-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,ECU,Ecuador,Latin America and the Caribbean,Americas,"Guano, Penipe districts (Chimborazo province), Cevallos, Mocha, Quero, San Pedro de Pelileo, Tisaleo districts (Tungurahua province)",,Pollution,No,No,Yes,,,,-1.467,-78.442,,2003,6.0,5.0,2003,7.0,5.0,,,25000.0,,25000.0,,,,,,,62.8584595000413,"[{""adm2_code"":15357,""adm2_name"":""Guano""},{""adm2_code"":15359,""adm2_name"":""Penipe""},{""adm2_code"":15524,""adm2_name"":""Cevallos""},{""adm2_code"":15525,""adm2_name"":""Mocha""},{""adm2_code"":15527,""adm2_name"":""Quero""},{""adm2_code"":15529,""adm2_name"":""San Pedro de Pelileo""},{""adm2_code"":15530,""adm2_name"":""Tisaleo""}]",2003-07-16,2023-09-25
2004-0033-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Egon,IDN,Indonesia,South-eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,"Slide (land, mud, snow, rock)",No,No,No,,,,,,,2004,1.0,29.0,2004,1.0,29.0,,,4615.0,,4615.0,,,,,,,64.5413292817447,"[{""adm2_code"":18156,""adm2_name"":""Sikka""}]",2014-07-28,2023-09-25
2004-0251-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Awu,IDN,Indonesia,South-eastern Asia,Asia,"Tahuna, Kendahe, Tabukan Utara sub-districts (Kepulauan-sangihe districts, Sulawesi Utara province)",,,No,No,No,,,,,,,2004,6.0,1.0,2004,6.0,7.0,,100.0,16728.0,,16828.0,,,,,,,64.5413292817447,"[{""adm2_code"":73699,""adm2_name"":""Kepulauan-sangihe""}]",2004-07-02,2023-09-25
2004-0269-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bromo,IDN,Indonesia,South-eastern Asia,Asia,"Pasuruan, Probolinggo districts (Jawa Timur province)",,,No,No,No,,,,,,,2004,6.0,8.0,2004,6.0,8.0,2.0,5.0,20000.0,,20005.0,,,,,,,64.5413292817447,"[{""adm2_code"":18091,""adm2_name"":""Pasuruan""},{""adm2_code"":18093,""adm2_name"":""Probolinggo""}]",2004-06-17,2023-09-25
2004-0463-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Egon,IDN,Indonesia,South-eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,No,No,No,,,,,,,2004,9.0,4.0,2004,9.0,4.0,,,2100.0,,2100.0,,,,,,,64.5413292817447,"[{""adm2_code"":18156,""adm2_name"":""Sikka""}]",2004-09-09,2023-09-25
2004-0610-PNG,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,,PNG,Papua New Guinea,Melanesia,Oceania,Bogia district (Madang province),,,No,No,No,,,,,,,2004,10.0,,2004,11.0,,,,9600.0,,9600.0,,,,,,,64.5413292817447,"[{""adm2_code"":37507,""adm2_name"":""Bogia""}]",2014-07-28,2023-09-25
2005-0202-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Talang,IDN,Indonesia,South-eastern Asia,Asia,Solok district (Sumatera Barat province),,,No,No,No,,,,,,,2005,4.0,12.0,2005,4.0,12.0,,,26000.0,,26000.0,,,,,,,66.7310579862028,"[{""adm2_code"":73853,""adm2_name"":""Solok""}]",2005-04-18,2023-09-25
2005-0205-COM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Karthala ,COM,Comoros,Sub-Saharan Africa,Africa,"Dimani, Pidjani villages (Ngazidja province)",,Pollution,No,No,No,761.0,,,,,,2005,4.0,16.0,2005,4.0,16.0,,,39000.0,,39000.0,,,,,,,66.7310579862028,"[{""adm1_code"":969,""adm1_name"":""Ngazidja""}]",2006-01-19,2023-09-25
2005-0308-PNG,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,"Langila, Manam",PNG,Papua New Guinea,Melanesia,Oceania,"Aitavala, Masele, Kilenge, Ongaea, Potne, Sumel, Vem, Galegale, Tauale, Laut, Aimaga, Aipate, Gie villages (Gloucester district, West New Britain province)",,,No,No,No,,,,-4.08,145.037,,2005,6.0,2.0,2005,6.0,10.0,,,15000.0,,15000.0,,,,,,,66.7310579862028,"[{""adm2_code"":37554,""adm2_name"":""Gloucester""}]",2005-09-13,2023-09-25
2005-0570-SLV,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Santa Ana (Ilamatepec),SLV,El Salvador,Latin America and the Caribbean,Americas,"Juayua, Nahuizalco districts (Sonsonate province), Santa Ana district (Santa Ana province), San Francisco Menendez, Ahuachapan districts (Ahuachapan province)",,,No,No,No,,,,13.852846,-89.63,,2005,10.0,1.0,2005,10.0,1.0,2.0,,2000.0,,2000.0,,,,,,,66.7310579862028,"[{""adm2_code"":15566,""adm2_name"":""Ahuachapan""},{""adm2_code"":15573,""adm2_name"":""San Francisco Menendez""},{""adm2_code"":15785,""adm2_name"":""Santa Ana""},{""adm2_code"":15794,""adm2_name"":""Juayua""},{""adm2_code"":15795,""adm2_name"":""Nahuizalco""}]",2014-07-28,2023-09-25
2005-0657-COM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Karthala,COM,Comoros,Sub-Saharan Africa,Africa,Ngazidja province,,Pollution,No,No,No,9.0,,,,,,2005,11.0,24.0,2005,12.0,10.0,1.0,,245000.0,,245000.0,,,,,,,66.7310579862028,"[{""adm1_code"":969,""adm1_name"":""Ngazidja""}]",2005-12-19,2023-09-25
2005-0664-VUT,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Ambae,VUT,Vanuatu,Melanesia,Oceania,Ambae island (Penama province),,,No,No,Yes,,,,-16.507,168.346,,2005,11.0,27.0,2005,11.0,27.0,,,5000.0,,5000.0,,,,,,,66.7310579862028,"[{""adm2_code"":31851,""adm2_name"":""Administrative unit not available""}]",2005-12-08,2023-09-25
2005-0731-COL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Galeras,COL,Colombia,Latin America and the Caribbean,Americas,"Consacra, Pasto, Sandona, Tangua, Yacuanquer districts (Nariño province)",,,No,No,Yes,,,,1.22,-77.37,,2005,11.0,24.0,2005,11.0,24.0,,,,,,,,,,,,66.7310579862028,"[{""adm2_code"":14069,""adm2_name"":""Consaca""},{""adm2_code"":14102,""adm2_name"":""Pasto""},{""adm2_code"":14115,""adm2_name"":""Sandona""},{""adm2_code"":14120,""adm2_name"":""Tangua""},{""adm2_code"":14124,""adm2_name"":""Yacuanquer""}]",2014-07-17,2023-09-25
2005-0818-ETH,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Arteala,ETH,Ethiopia,Sub-Saharan Africa,Africa,Zone 4 district (Afar province),,,Yes,No,No,,,,12.623,40.46,,2005,9.0,,2005,10.0,,,,9000.0,,9000.0,,,,,,,66.7310579862028,"[{""adm2_code"":40790,""adm2_name"":""Zone 4""}]",2014-07-24,2023-09-25
2006-0154-COL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Galeras,COL,Colombia,Latin America and the Caribbean,Americas,"Pasto, La Florida districts (Nariño province)",,,No,No,No,248.0,,,,,,2006,3.0,28.0,2006,7.0,12.0,,,8500.0,,8500.0,,,,,,,68.8837587123464,"[{""adm2_code"":14089,""adm2_name"":""La Florida""},{""adm2_code"":14102,""adm2_name"":""Pasto""}]",2014-07-28,2023-09-25
2006-0196-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,IDN,Indonesia,South-eastern Asia,Asia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",,,No,No,No,100.0,,,,,,2006,4.0,18.0,2006,5.0,15.0,,,11000.0,,11000.0,,,,,,,68.8837587123464,"[{""adm2_code"":17985,""adm2_name"":""Sleman""},{""adm2_code"":18034,""adm2_name"":""Boyolali""},{""adm2_code"":18042,""adm2_name"":""Klaten""},{""adm2_code"":18043,""adm2_name"":""Kota Magelang""},{""adm2_code"":18050,""adm2_name"":""Magelang""},{""adm2_code"":73730,""adm2_name"":""Kota Klaten""}]",2007-02-15,2023-09-25
2006-0213-PER,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Ubinas,PER,Peru,Latin America and the Caribbean,Americas,"Ubinas, Matalaque, Chojata, Lloque, Yunga, Ichuna, Coalaque, La Capilla, Omate, Puquina, Quinistaquillas municipalities (General Sanchez Cerro districts, Moquegua province), San Juan de Taracuni municipality (Arequipa district ,Arequipa province)",,,No,No,Yes,61.0,,,-16.355,-70.9,,2006,3.0,27.0,2006,4.0,23.0,,,3000.0,,3000.0,,,,,,,68.8837587123464,"[{""adm2_code"":24039,""adm2_name"":""Arequipa""},{""adm2_code"":24151,""adm2_name"":""General Sánchez Cerro""}]",2014-07-24,2023-09-25
2006-0281-VUT,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Lopevi,VUT,Vanuatu,Melanesia,Oceania,"Paama, Ambrym villages (Malampa province)",,,No,No,No,,,,-16.507,168.346,,2006,5.0,9.0,2006,5.0,9.0,,,,,,,,,,,,68.8837587123464,"[{""adm2_code"":31850,""adm2_name"":""Administrative unit not available""}]",2006-06-13,2023-09-25
2006-0282-COM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Karthala,COM,Comoros,Sub-Saharan Africa,Africa,Ngazidja province,,,No,No,No,105.0,,,,,,2006,5.0,28.0,2006,5.0,28.0,,,,,,,,,,,,68.8837587123464,"[{""adm1_code"":969,""adm1_name"":""Ngazidja""}]",2006-06-15,2023-09-25
2006-0283-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua ,ECU,Ecuador,Latin America and the Caribbean,Americas,"Cusua village ; Tungurahua, Chimborazo provinces",,,No,No,Yes,,,,-1.467,-78.442,,2006,5.0,10.0,2006,5.0,23.0,,,250.0,,250.0,,,,,,,68.8837587123464,"[{""adm1_code"":1139,""adm1_name"":""Chimborazo""},{""adm1_code"":1155,""adm1_name"":""Tungurahua""}]",2014-06-27,2023-09-25
2006-0373-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tungurahua,ECU,Ecuador,Latin America and the Caribbean,Americas,"Pelileo, Patate, Banos, Cevallos, Tisaleo, Mocha, Quero districts (Tungurahua province), Guano, Penipe districts (Chimborazo province) ; Bolivar, Pastaza, Los Rios, Guayas, Manabi provinces",,,Yes,Yes,Yes,8040.0,,,-1.467,-78.442,,2006,7.0,14.0,2006,8.0,17.0,5.0,13.0,300000.0,,300013.0,,,,,150000.0,217758.0,68.8837587123464,"[{""adm1_code"":1136,""adm1_name"":""Bolivar""},{""adm1_code"":1139,""adm1_name"":""Chimborazo""},{""adm1_code"":1147,""adm1_name"":""Los Rios""},{""adm1_code"":1148,""adm1_name"":""Manabi""},{""adm1_code"":1152,""adm1_name"":""Pastaza""},{""adm1_code"":1155,""adm1_name"":""Tungurahua""},{""adm1_code"":22005,""adm1_name"":""Guayas""}]",2014-07-28,2023-09-25
2006-0380-COL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Galeras,COL,Colombia,Latin America and the Caribbean,Americas,"La Florida, Ancuya, Sandona, Consaca districts (Nariño province)",,,No,No,Yes,,,,,,,2006,7.0,12.0,2006,7.0,12.0,,,8500.0,,8500.0,,,,,,,68.8837587123464,"[{""adm2_code"":14062,""adm2_name"":""Ancuya""},{""adm2_code"":14069,""adm2_name"":""Consaca""},{""adm2_code"":14089,""adm2_name"":""La Florida""},{""adm2_code"":14115,""adm2_name"":""Sandona""}]",2006-07-19,2023-09-25
2006-0450-PHL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,PHL,Philippines,South-eastern Asia,Asia,"Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,,No,No,No,120.0,,,13.257,123.685,,2006,8.0,13.0,2006,8.0,13.0,,,43849.0,,43849.0,,,,,,,68.8837587123464,"[{""adm2_code"":24240,""adm2_name"":""Albay""}]",2014-07-28,2023-09-25
2006-0540-PNG,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Tavurvur ,PNG,Papua New Guinea,Melanesia,Oceania,"Kokopo, Rabaul districts (East New Britain province)",,,No,No,No,,,,,,,2006,10.0,7.0,2006,10.0,7.0,,,1221.0,,1221.0,,,,,,,68.8837587123464,"[{""adm2_code"":37482,""adm2_name"":""Kokopo""},{""adm2_code"":37484,""adm2_name"":""Rabaul""}]",2014-07-28,2023-09-25
2006-0715-PNG,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Karai ,PNG,Papua New Guinea,Melanesia,Oceania,"Kaiamu, Malasi, Sulu, Silali villages (Bialla district, West New Britain province)",,,No,No,No,,,,,,,2006,7.0,13.0,2006,7.0,13.0,,,2078.0,,2078.0,,,,,,,68.8837587123464,"[{""adm2_code"":37553,""adm2_name"":""Bialla""}]",2007-01-09,2023-09-25
2006-0729-MSR,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Soufriere,MSR,Montserrat,Latin America and the Caribbean,Americas,"Belham valley (Central, Salem provinces)",,,No,No,No,,,,,,,2006,12.0,26.0,2006,,,,,200.0,,200.0,,,,,,,68.8837587123464,"[{""adm2_code"":21781,""adm2_name"":""Administrative unit not available""},{""adm2_code"":21785,""adm2_name"":""Administrative unit not available""}]",2014-07-24,2023-09-25
2007-0150-COL,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,GLIDE:VO-2007-000048,Nevado del Huila,COL,Colombia,Latin America and the Caribbean,Americas,"Tierradentro town (Inza district, Cauca province), Paez Belalcázar, Avirama, Cohetando, Toez, Vitonco, Yosayo, Mosoco, San Jose, Lame, Suin, Chinas, Buco towns (Paez district, Cauca province), Caloto district (Cauca province) La Plata, Paicol, Iquira, Teruel, Tesalia and Nataga districts (Huila province)",,"Slide (land, mud, snow, rock)",No,No,No,,,,2.93,-76.03,,2007,4.0,18.0,2007,4.0,18.0,,,3000.0,,3000.0,,,,,,,70.848792703253,"[{""adm2_code"":13726,""adm2_name"":""Caloto""},{""adm2_code"":13733,""adm2_name"":""Inza""},{""adm2_code"":13742,""adm2_name"":""Paez""},{""adm2_code"":13986,""adm2_name"":""Iquira""},{""adm2_code"":13989,""adm2_name"":""La Plata""},{""adm2_code"":13990,""adm2_name"":""Nataga""},{""adm2_code"":13993,""adm2_name"":""Paicol""},{""adm2_code"":14005,""adm2_name"":""Teruel""},{""adm2_code"":14006,""adm2_name"":""Tesalia""}]",2014-07-28,2023-09-25
2007-0259-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,GLIDE:VO-2007-000095,Mt. Gamkonora ,IDN,Indonesia,South-eastern Asia,Asia,"South Ibu sub-district (Halmahera Barat district, Maluku Utara province)",,,No,No,No,,,,,,,2007,7.0,9.0,2007,7.0,9.0,,,9758.0,,9758.0,,,,,,,70.848792703253,"[{""adm2_code"":73677,""adm2_name"":""Halmahera Barat""}]",2008-08-04,2023-09-25
2007-0363-ETH,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Arteale,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Dayulu (Zone 1 district, Afar province), Gomoyta (Zone 4 district, Afar province)",,,No,No,No,,,,12.17,40.82,,2007,8.0,12.0,2007,8.0,12.0,5.0,,2000.0,,2000.0,,,,,,,70.848792703253,"[{""adm2_code"":40788,""adm2_name"":""Zone 1""},{""adm2_code"":40790,""adm2_name"":""Zone 4""}]",2014-07-24,2023-09-25
2007-0473-YEM,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,,YEM,Yemen,Western Asia,Asia,"Jabal Al-Tayr island (Alluheyah district, Al Hudaydah province)",Earthquake,,No,No,No,,,,,,,2007,9.0,30.0,2007,9.0,30.0,6.0,15.0,,,15.0,,,,,,,70.848792703253,"[{""adm2_code"":32734,""adm2_name"":""Alluheyah""}]",2007-10-04,2023-09-25
