id,keyword,location,text,target,Unnamed: 5,Unnamed: 6,Unnamed: 7
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,,,
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,,,
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,,,
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,,,
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,,,
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,,,
64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,,,
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,,,
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,,,
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,,,
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,,,
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,,,
76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,,,
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,,,
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,,,
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,,,
84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,,,
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,,,
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,,,
99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,,,
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,,,
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,,,
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,,,
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,,,
116,airplane accident,"California, USA",Like Iran shooting an airplane was an accident,1,,,
120,airplane accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,,,
123,airplane accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,,,
125,airplane accident,,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,,,
126,airplane accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,,,
128,airplane accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,,,
135,airplane accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,,,
136,airplane accident,artemis,But... The airplane accident...,1,,,
140,airplane accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,,,
141,airplane accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,,,
164,airplane accident,"Vaughan, Ontario",?!?!?! SO THEY SAYING SHOOTING DOWN THAT AIRPLANE W INNOCENT PPL WAS AN ACCIDENT???? BRUH.,1,,,
165,airplane accident,"Moodus, CT  USA",There were 6 Nuclear physicists on that AirPlane it was no accident.,1,,,
166,airplane accident,"40.72163,-73.8669","and his murderous friends shoot down an airplane ""by accident"", killing around 200 innocent people, but wa… https://t.co/i3w3gDnKSx",1,,,
167,airplane accident,"East Verdi, NV","Yup, and the US once shot down an Iranian airplane by accident. And we’ve been supp… https://t.co/smtoR2tsjn",1,,,
170,airplane accident,"Hamilton, Ontario",CBC news just said there was an operator on a missile launcher that shot down the airplane. cockpit was taken out.… https://t.co/uy2YYAqeAr,1,,,
179,airplane accident,"Franca, Brasil","Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling, inclu…",1,,,
180,airplane accident,Cairo,Iranian military admitted it shot down Ukrainian airplane by missiles accidentally. It is not an accident! It is a crim…,1,,,
182,airplane accident,Qom,"Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling,… https://t.co/HBAXNWmVoZ",1,,,
183,airplane accident,"Houston, TX","Iran shot down an airplane full of innocent people. Say what you want about Trump, but that’s not an appropriate r… https://t.co/dEdr4YnZK9",1,,,
184,airplane accident,"The Hague, Netherlands ",She is still silent about the killing of 176 innocent people in Iran. Iranian military admitted it shot down Ukrainian a…,1,,,
187,airplane accident,,Germany's Foreign Minister Heiko Maas says 'It must be assumed the airplane crash in Iran was a terrible accident.' https://…,1,,,
188,airplane accident,,"How about some compassion for the families of the Ukrainian airplane shot down ""by accident"" ?🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏…",1,,,
190,ambulance,Republic of Ireland.,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother, #streetjournal https://t.co/gK6dAGKRrL,1,,
202,ambulance,mybag,"first of all he was not taken to no damn hospital , that man died in walmart with the ambulance OUTSIDE! they was more focuse…",1,,,
204,ambulance,Wales,What has it come to? We’ve recently had fuel stolen from ambulance vehicles and damage to a staff car whilst on an ambulanc…,1,,,
212,ambulance,"Knoxville, TN","Long night, mom's sugar dropped to 28 so dad called an ambulance. No fun at hospital with late shift.",1,,,
217,ambulance,Malawi,Angels Over Africa: A Netcare 911 air ambulance with Doctor and Paramedic has been activated for an inter-hospital-trans…,1,,,
220,ambulance,,Timely action during accidents can save someone's life. If you find someone with injury then call for an ambulance… https://t.co/9PPTiJUJpN,1,,,
240,annihilated,"Osun, Nigeria","Titans, raise your tridents and drink to Victory We annihilated our enemies yesterday and sent them to hades where they…",1,,,
243,annihilated,,"Titans, raise your tridents and drink to Victory We annihilated our enemies yesterday and sent them to hades where… https://t.co/D4U6LYkAxv",1,,,
244,annihilated,Ireland,I will appreciate the BBC igbo when it starts to expose how Britain partook in the biafra genocide were over 4 millio…,1,,,
253,annihilated,Indio,They'd get annihilated by '01 Miami https://t.co/b8lOC0URae,1,,,
254,annihilated,,Being an Ally of the US means you too can be annihilated at any minute. Just look at the Kurds.,1,,,
267,annihilated,香港,President trump is a great President. He annihilated the terrorists at the risk of inti… https://t.co/bFqO0VrR0Z,1,,,
289,annihilation,,Only if Surajmal and Bhau had somehow forged an alliance it would hv resulted in annihilation of ummah.,1,,,
293,annihilation,"Durban, South Africa",Anyone know of an official site where we can oppose the total annihilation of South Africa / new health system reform?,1,,,
296,annihilation,"Henderson, NV","Like the Iran/Iraq war, I root for mutual annihilation https://t.co/x5Gv676NEY",1,,,
297,annihilation,,We need political autonomy. Nothing less will prevent our demographic annihilation.,1,,,
299,annihilation,,Simple. The Arabs rejected out of hand the 1947 UN Partition Plan and instead waged a War… https://t.co/Gauqyo8bW2,1,,,
300,annihilation,"Los Angeles, CA","Russia Blames Trump’s Iran Strike on Impeachment: “For Trump, the annihilation of an Iranian General presents a decen…",1,,,
301,annihilation,The Phantom Zone,Complete nuclear annihilation except it’s all of the pops in your back happening at once.,1,,,
314,annihilation,,You need to survive to practice faith. Why do you think hindu.genocide… https://t.co/Xq3Zy7y7Op,1,,,
315,annihilation,,You also need to survive to practice faith. Why do you think hindu.gen… https://t.co/OzLw4P5nwv,1,,,
316,annihilation,"Baltimore, MD",Are you speaking about the atrocities and annihilation of Christians across the Middle East committed by Muslims daily? #Sat…,1,,,
323,apocalypse,Madrid,no amount of sci-fi media could’ve prepared me for this aspect of the climate apocalypse https://t.co/Pv6spn1r9l,1,,,
328,apocalypse,Estonia,no amount of sci-fi media could’ve prepared me for this aspect of the climate apocalypse,1,,,
331,apocalypse,,The apocalypse is coming https://t.co/nvvVDTxRXo,1,,,
333,apocalypse,United States,Ancient Viking Runestone's Warning Of 'Ragnarok' Apocalypse Predicts Extreme Climate Change... https://t.co/WchvcbLBoE,1,,,
342,apocalypse,Ireland,Common sense on Twitter... Is this the first sign of the apocalypse 😂 you look great!,1,,,
350,apocalypse,The Heart of America,"Important Notice: The Global Warming Apocalypse, Scheduled For 2020 Has Been Postponed #memes #politics https://t.co/IgTZxAhZaG",1,,,
354,apocalypse,Illinois,I am going to his place when the zombie apocalypse happens.,1,,,
357,apocalypse,Themyscira,"I just survived the London rush hour tube ride (which is basically like surviving the zombie apocalypse), but what… https://t.co/OC1WtHjXiw",1,,,
361,apocalypse,"vld, mdzs, bnha, hq!!","Day 9: Post-apocalyptic Lance really wants to share everything with his best buddy, but the apocalypse means hard time…",1,,,
395,army,India,Today Pak Army soldiers will b thanking to Indian Army.If the Indian Army did not carry out deadly strikes in Neelum Valle…,1,,,
401,army,"Kerala, India","""As If Jama Masjid Is In Pak"": Judge Rebukes Cops In Bhim Army Case https://t.co/V3wdkPhVq0 #NDTVNewsBeeps #BhimArmy https://t.co…",1,,,
409,army,TEL AVIV ISRAEL,"Forced to develop locally made missiles fired from Apache helicopters after Obama halted sales to Israel in 2014, Israel’s…",1,,,
418,army,New York City & a Vegetarian,Army IDs Two Paratroopers Killed by Roadside Bomb in Afghanistan | https://t.co/eug1zOy1lJ https://t.co/lujCwMUtcD,1,,,
420,army,"Sarni, India","Avalanches hit Army &amp; BSF posts, 4 jawans rescued but 1 jawan is still missing. Bad weather hampers rescue operations. https:…",1,,,
444,army,Kingdom of Saudi Arabia,"After the most brutal and provocative statement of the DGISPR (should an already butchered be butchered again), we are forc…",1,,,
447,army,"अंबाला कैंटोनमेंट क्षेत्र, Amb","Whenever surgical strikes happen, they do not believe the army's stands and even the PM's statements. They keep asking for e…",1,,,
452,arson,"Belfast, Northern Ireland",Firefighter Let Out of Jail Despite 'Serious Sex Offenses' Arrested for Starting 17 Fires in Australia https://t.co/GiMhYIlwGC,1,,,
454,arson,"Retford, England",Funny (not) how the Australian authorities have investigated nearly 200 people for arson and already charged some.… https://t.co/6MaT9MYXGa,1,,,
457,arson,"Victoria, Australia",I believe this is the most credible current information on arsonists and… https://t.co/5aunr5kveV,1,,,
458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,,,
459,arson,Bangalore,It's 13 yrs old but imagine they were #JNU students For burning US flag 3 Yale students (1 Xtian &amp, 2 Muslm names) were ch…,1,,
460,arson,"Helsinki, Finland","""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1,,,
464,arson,Washington State,"The viral false claim that nearly 200 arsonists are behind the Australia fires, explained https://t.co/V8mJfFmBPh HANNITY…",1,,,
466,arson,Milkyway Galaxy,190 people arrested for arson!,1,,,
474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,,,
475,arson,Port Alfred,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,1,,,
476,arson,"Perth, Western Australia",The inquiry will show an alarming increase in the n… https://t.co/VAN8Gf8Cx3,1,,,
477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,,,
479,arson,,Rubbish Hillary! I am an Australian living near the fires &amp, the causes of the fires have been: 1. Arson with approx 200…,1,,
488,arson,Nazi Germany,200 people were arrested for arson 😂,1,,,
489,arson,,"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",1,,,
492,arson,England,Chichester man convicted of arson and assault https://t.co/HSQFTj8xFU,1,,,
501,arson,"Kolkota, West Bengal","Violence, arson across West Bengal as strikers try to enforce bandh; 55 arrested in Kolkata - Times of India… https://t.co/bIMdUMDstT",1,,,
505,arson,,Arson major factor in Australian Fires... https://t.co/X59fykaOdA,1,,,
507,arson,"Perth, Western Australia","In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",1,,,
508,arson,,"Actually, that claim about 200 people is the hoax. https://t.co/ilbnslmdeW",1,,,
515,arsonist,,Fke news. None of the bush fires in Victoria were lit by arsonist.,1,,,
537,attack,"Shimla, Chandigarh India","Two militants were being escorted to Delhi by a police officer, possibly intending to commit a terrorist attack on Jan…",1,,,
538,attack,United States,"In one week, I watched democrats... Attack a man who stopped a church shooting. Mourn over an Iranian terrorist. Blam…",1,,,
541,attack,Larrakia,"RT #FightExtremism ""The Taliban have claimed responsibility for a roadside bomb attack in Kandahar that killed two… https://t.co/7Ym9WSGKQp",1,,,
543,attack,Larrakia,"RT #FightExtremism ""An emboldened al-Shabab threatens to strike American targets around the world days after the So… https://t.co/wAfc8yVd5Z",1,,,
544,attack,"Mumbai, India",मुस्लिम महिला छात्रों से गुंडागर्दी/POLICE ATTACK ON WOMEN STUDENT https://t.co/RKIDl9ohGA via,1,,,
545,attack,"Thessaloniki, Greece",#Drone strikes by birds are surprisingly common and occur in many parts of the world. What professional dronists sa… https://t.co/aZTJJe5diz,1,,,
549,attack,"لاہور, پاکستان",Afzal Guru gets hanged to death in 2013 since he gave refugee to Parliament attack terrorist!He claimed he did so on t…,1,,,
554,attack,,Remember the 2016 attack on the IAF base in Pathankot? The attackers came in the official car of Punjab Police SP Salwi…,1,,,
576,attack,mumbai,"https://t.co/2NIgrcLoeq Elephants under attack - 400 in Sri Lanka - last year . Our habits , convenience and choices are…",1,,,
589,attack,"San Francisco, CA","After the attack, the soldiers were surprised that the destruction was not greater. I would estimate that the nearest r…",1,,,
596,attack,القدس,Stone throwing that killed Palestinian mother of 8 recognized as terror attack https://t.co/Gjz3cQC7Rl,1,,,
599,attack,"London, England","I’m deeply troubled by the news of violent attack on individuals and properties at Bhainsa, Telangana. Such actions are…",1,,,
600,attack,NYC,US expels 21 Saudi cadets after terrorist attack at base. Most had jihadist literature. 15 of the 19 9/11 hijackers were a…,1,,,
602,attack,,for his Participation in countering a Fidayeen Attack by Terrorists at District Police Lines Pulwahma on 25/26 Aug 2017 w…,1,,,
603,attack,,US military base in Iraq a few days after Iran missile attack #Iranattack https://t.co/x2Q8QiXKVc via,1,,,
609,attacked,,"India Attacked by Islamic Terrorists (AGAIN) - Leftist Media Silent! Hundreds of Jihadists attacked Hindus, looted &amp; burned 1…",1,,,
611,attacked,UK,"#USASupportsTerrorist 15 out of the 19 terrorist that ""attacked"" Americans on September 11, by flying planes into the World…",1,,,
612,attacked,,20+ Hindus houses attacked &amp, burned in Telangana by peaceful Community. Stone pelted and houses looted. Even police perso…,1,,
618,attacked,"Dwarka, New Delhi",Telangana experienced communal violence last night - at the stroke of midnight almost 500 Muslims attacked Hindus and the…,1,,,
624,attacked,,"Who attacked Iran out of reason and breached their sovereignty, actually threatenin… https://t.co/i1YosfX7bX",1,,,
628,attacked,"मुंबई, भारत",Hindu Vahini Karyakarta house is Burnt &amp, attacked by MIM goondas in Bhansia should arrest…,1,,
631,attacked,,Muslim mob attacked Hindu families in Telangana. Internet banned. #Secularism https://t.co/UqFkqE0zi4,1,,,
639,attacked,United States,"YOU’VE BEEN SELECTED | MIDNIGHT DEADLINE: After Iran attacked our troops, they need to know folks at home have their backs. We…",1,,,
646,attacked,,Terrorists attacked people in Telangana Smaller districts of Bhainsa and Nirmal saw terror mob burned few places and tar…,1,,,
652,attacked,,"Islamic Jihadist mob attacked Hindus, looted &amp; burnt 18 Houses &amp; their property in Bhainsa town of Nirmal dist,Telangana la…",1,,,
668,avalanche,"Bangalore, India","1 BSF soldier killed in avalanche in Kashmir's Naugam sector, 6 other personnel rescued.",1,,,
669,avalanche,,"Very sad news coming in. 3 soldiers killed, 1 missing in avalanche in Machil sector.",1,,,
670,avalanche,Vancouver,A skier caught in an avalanche in Banff National Park on Friday has died of her injuries https://t.co/tfqL1SiPVA https://t.co/gXX2rPjHS2,1,,,
672,avalanche,"Chennai, India","Five soldiers were trapped under the #avalanche, efforts are on to trace one missing soldier https://t.co/qPWN5ug5w7 #Machil",1,,,
673,avalanche,"Hyderabad, BHARAT",Three Army soldiers were killed and another was missing after an avalanche hit their post in Machil sector along the LoC…,1,,,
674,avalanche,"Pune, India",JUST IN: Avalanche strikes Indian Army post in Machil sector along LoC in Jammu &amp, Kashmir. 5 soldiers were believed to b…,1,,
675,avalanche,India,"4 soldiers, 5 civilians killed in avalanches in Jammu and Kashmir. https://t.co/jhOYNZJ74W https://t.co/cy8dFRz6VW",1,,,
676,avalanche,"Indore, India",Terrible news coming from J&amp,K's Machil sector where we have lost 3 soldiers and one soldier is still missing as their p…,1,,
677,avalanche,India,"10 including 4 army soldiers, one BSF constable killed in #avalanches in #Kashmir https://t.co/00u3Qm1UCS #avalanche",1,,,
678,avalanche,"Oregon, USA",Snowmobiler dies in Eastern Oregon avalanche - KTVZ https://t.co/CnJoXRE0pD,1,,,
679,avalanche,Another World♥️♦️♠️♣️🃏💫⭐︎,Hi Respected #Friends Hello #TweeterWorld #Namaste 🙏 G.morning Everyone 🤗 Avalanche Effect At Shimla INDIA Enjoy The Be…,1,,,
680,avalanche,Turkey,#SRINAGAR: A BSF jawan lost his life while six others were rescued after an avalanche along the Line of Control (LoC) in Ka…,1,,,
681,avalanche,"Vadodara, India",JUST IN: BSF lost a *Borderman* in avalanche on 13th Jan evening when at 8:30PM an avalanche hit a BSF deployment in Nau…,1,,,
682,avalanche,"Islamabad, Pakistan","Breaking News: At least 51 people have been killed in a snow avalanche in Neelum valley of Azad Kashmir , officials sa…",1,,,
685,avalanche,"Islamabad, Pakistan","Breaking News: At least 51 people have been killed in a snow avalanche in Neelum valley of Azad Kashmir , officials said in Muzaffarabad.",1,,,
687,avalanche,,#SONDAKİKA #breakingsound Avalanche disaster in Pakistan Kashmir: 57 dead https://t.co/LJwe842mMN,1,,,
689,avalanche,Aryavarta,Saddened by the martyrdom of soldiers because of avalanche in Kashmir. Tribute to the martyred soldiers. Prayer for quick…,1,,,
690,avalanche,Turkey,BSF jawan killed in Naugam sector avalanche https://t.co/wXolbxFBIQ,1,,,
691,avalanche,,The defence sources said three soldiers were killed and another was missing after an avalanche hit an Army post in… https://t.co/UhrpaVafAc,1,,,
693,avalanche,"Jammu, Jammu And Kashmir",#SRINAGAR: A BSF jawan lost his life while six others were rescued after an avalanche along the Line of Control (Lo… https://t.co/QVUJWgy3li,1,,,
694,avalanche,,Army jawans &amp, BSF post is said to have come under heavy avalanche respectively. Till now 1 BSF Soldier lost his life &amp, 1 A…,1,
695,avalanche,,Prayers for those who are stuck and those who lost their lives in the avalanche at #NeelumValley #Pakistan #,1,,,
696,avalanche,"London, England","Out of five soldiers trapped under the avalanche, one was rescued after the Army launched rescue operations. https://t.c…",1,,,
698,avalanche,"Peshawar, Pakistan",Apparently an avalanche has hit #NeelumValley in Azad Kashmir leading to multiple casualties. Mainstream media is yet to…,1,,,
768,bioterror,,What Do We Really Know About the Transmission of Ebola? No one knows for certain how the Ebola virus is transmitted from o…,1,,,
769,bioterror,South Carolina,What Do We Really Know About the Transmission of Ebola? No one knows for certain how the Ebola virus is transmitte… https://t.co/NHAi3yx6Fb,1,,,
780,bioterror,U.S.A.,"US-Mexico Border: Portal For TB, Swine Flu, Bioterror - Headline Health https://t.co/4wRiSjs39m",1,,,
781,bioterror,"Fairfield, OH","US-Mexico Border: Portal For TB, Swine Flu, #Bioterrorism https://t.co/dVVyfAKO1L via",1,,,
783,bioterror,,"US-Mexico Border: Portal For TB, Swine Flu, Bioterror https://t.co/SRrV6JpOGC",1,,,
784,bioterror,"Destin, FL","US-Mexico Border: Portal For TB, Swine Flu, Bioterror https://t.co/xv4mhvm5iS via",1,,,
785,bioterror,The Land Of The Free Because Of The Brave USA,"US-Mexico Border: Portal For TB, Swine Flu, Bioterror https://t.co/I64vGPN1iB via",1,,,
839,bioterrorism,,It's bioterrorism causing it. They have arrested over a hundred arsonists for setting fires,1,,,
853,blaze,Australia,Martin Tebbutt's farm in Bilpin was completely charred when the Gospers Mountain blaze ripped through the area on Dec…,1,,,
854,blaze,"Louisiana, USA",Blaze destroys building at Louisiana apartment complex - https://t.co/gUScHPrrTw https://t.co/EH5n0xzc0O,1,,,
863,blaze,"Nairobi, Kenya",Blaze all buff to kill,1,,,
871,blaze,"Nairobi, Kenya",Blaze is just a giant!,1,,,
944,bleeding,luvcha ♡,hmm scratched my ear now its bleeding.,1,,,
972,bleeding,PH,my nose is bleeding too wtf 😭,1,,,
978,bleeding,down under,nevermind my nose started bleeding,1,,,
980,bleeding,,I forgot my lip balm and now I’m holding a sleeping baby and my lips are dry and cracked and bleeding.,1,,,
987,bleeding,sav 🌱 they/she,MY CAT???? JUST WENT CRAZY TO ME I’M BLEEDING?????,1,,,
1001,bleeding,they/them,Anyone know how to stop severe bleeding asking for my leg haha,1,,,
1003,bleeding,idk im bad at directions,my fatass just tripped on some shit in my room and I full on fell while my cat just stared from her perch also my knees bleeding now ouch,1,,,
1009,blew up,,"1975 was my 9/11 -- that's when radical terrorists blew up my home, putting me in the hospital. For the next 7 years, I l…",1,,,
1014,blew up,"Sydney, Australia",The murdering scum IRA who blew up innocent men women &amp, children got off Scot free under BLIAR”s ( lyi…,1,,
1020,blew up,,The murdering scum IRA who blew up innocent men women &amp, children got off Scot free under BLIAR”s (… https://t.co/IyqhTwzitC,1,,
1082,blight,"Rome & Bonn, also Nairobi",Potato late blight in Europe: The hard science https://t.co/Fh8hMgcU49 https://t.co/5Y06KWGeod,1,,,
1088,blight,Egypt - UAE,Tunisian fishermen driven to perilous depths by mystery sea sponge blight https://t.co/iM6VKIGqsL,1,,,
1111,blizzard,India,I became lost in a Himalayan blizzard at 4000 meters and was saved by a horse. https://t.co/DGP7RNeiv6,1,,,
1156,blood,,So I’m noticing the blood and scratches on my face and as I’m spitting out more blood I felt .. what I thought was… https://t.co/BVtLMNtDPn,1,,,
1183,blood,Japan,Gunmen ‘open fire on protesters in Iran’ in videos that show blood on the streets of Tehran #Iran #HumanRights #IranProte…,1,,,
1195,blood,"Islamabad, Pakistan🇵🇰","#Islamabad alert! A negative blood required in Islamabad today, please contact me if someone here with A negative blo…",1,,,
1213,blood,"Italy, Europe and worldwide","""How Insects Cope When Blood Rushes to Their Heads"" by BY JAMES GORMAN via NYT https://t.co/zc5iRNQRCo https://t.co/25iqCKNiwj",1,,,
1251,bloody,Wadi Al Kensal Rise,"That bloody Iran plane missile story. I tweeted ""evidence"" that it might have been an American missile. Then the ba… https://t.co/u6zgs8JNm4",1,,,
1255,bloody,,I must be doing something wrong. Never was able to bloody anyone’s nose with this tongue 🤔,1,,,
1280,bloody,Guildford,If I didn't need my Crutch I would seriously wrap it round someone's bloody head.,1,,,
1298,body bag,Ireland,Body parts found in bag as police probe 'suspicious' death https://t.co/wHcYwQq6Qo https://t.co/POWF9qaabd,1,,,
1299,body bag,,Gardai launch murder inquiry after body parts found in bag https://t.co/28psK7DBOw,1,,,
1300,body bag,"Wexford, Ireland",Human remains found in bag in Dublin estate via https://t.co/o3L2YgR4uC,1,,,
